stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station
960058,10697,Tuchów ul. Kolejowa,49.892703,21.053871,http://kolejemalopolskie.kiedyprzyjedzie.pl/10697,1,
1015329,2592,Tuchów ul. Kolejowa,49.892703,21.053871,http://kolejemalopolskie.kiedyprzyjedzie.pl/2592,0,960058
960069,10718,Turza Granica,49.7532305,21.074278,http://kolejemalopolskie.kiedyprzyjedzie.pl/10718,1,
1015350,2614,Turza Granica,49.75334,21.074196,http://kolejemalopolskie.kiedyprzyjedzie.pl/2614,0,960069
1015351,2615,Turza Granica,49.753121,21.07436,http://kolejemalopolskie.kiedyprzyjedzie.pl/2615,0,960069
960063,10716,Turza Kościół,49.766189,21.0606835,http://kolejemalopolskie.kiedyprzyjedzie.pl/10716,1,
1015338,2602,Turza Kościół,49.76615,21.060656,http://kolejemalopolskie.kiedyprzyjedzie.pl/2602,0,960063
1015339,2603,Turza Kościół,49.766228,21.060711,http://kolejemalopolskie.kiedyprzyjedzie.pl/2603,0,960063
960062,10715,Turza Młynek,49.777306,21.0589275,http://kolejemalopolskie.kiedyprzyjedzie.pl/10715,1,
1015336,2600,Turza Młynek,49.777246,21.058918,http://kolejemalopolskie.kiedyprzyjedzie.pl/2600,0,960062
1015337,2601,Turza Młynek,49.777366,21.058937,http://kolejemalopolskie.kiedyprzyjedzie.pl/2601,0,960062
960067,10717,Turza Pańskie Pola,49.761864,21.067785,http://kolejemalopolskie.kiedyprzyjedzie.pl/10717,1,
1015346,2608,Turza Pańskie Pola,49.761915,21.067684,http://kolejemalopolskie.kiedyprzyjedzie.pl/2608,0,960067
1015347,2610,Turza Pańskie Pola,49.761813,21.067886,http://kolejemalopolskie.kiedyprzyjedzie.pl/2610,0,960067
959874,10821,Tylmanowa Rzeka,49.5170435,20.399642,http://kolejemalopolskie.kiedyprzyjedzie.pl/10821,1,
1015018,2282,Tylmanowa Rzeka,49.517079,20.399527,http://kolejemalopolskie.kiedyprzyjedzie.pl/2282,0,959874
1015019,2283,Tylmanowa Rzeka,49.517008,20.399757,http://kolejemalopolskie.kiedyprzyjedzie.pl/2283,0,959874
959867,10624,Tymbark (DK28),49.721517,20.324617,http://kolejemalopolskie.kiedyprzyjedzie.pl/10624,1,
1015005,2268,Tymbark (DK28),49.721517,20.324617,http://kolejemalopolskie.kiedyprzyjedzie.pl/2268,0,959867
959862,10620,Tymbark Góry,49.734861,20.3096985,http://kolejemalopolskie.kiedyprzyjedzie.pl/10620,1,
1014995,2259,Tymbark Góry,49.734944,20.308995,http://kolejemalopolskie.kiedyprzyjedzie.pl/2259,0,959862
1014996,2262,Tymbark Góry,49.734778,20.310402,http://kolejemalopolskie.kiedyprzyjedzie.pl/2262,0,959862
959864,10621,Tymbark PKP,49.731455,20.318903,http://kolejemalopolskie.kiedyprzyjedzie.pl/10621,1,
1014999,2263,Tymbark PKP,49.731524,20.318834,http://kolejemalopolskie.kiedyprzyjedzie.pl/2263,0,959864
1015000,2264,Tymbark PKP,49.731386,20.318972,http://kolejemalopolskie.kiedyprzyjedzie.pl/2264,0,959864
959868,10622,Tymbark Rynek,49.7296135,20.324655,http://kolejemalopolskie.kiedyprzyjedzie.pl/10622,1,
1015006,2269,Tymbark Rynek,49.729666,20.324638,http://kolejemalopolskie.kiedyprzyjedzie.pl/2269,0,959868
1015007,2270,Tymbark Rynek,49.729561,20.324672,http://kolejemalopolskie.kiedyprzyjedzie.pl/2270,0,959868
959866,10623,Tymbark Szkoła,49.723049,20.3245575,http://kolejemalopolskie.kiedyprzyjedzie.pl/10623,1,
1015003,2267,Tymbark Szkoła,49.722714,20.324304,http://kolejemalopolskie.kiedyprzyjedzie.pl/2267,0,959866
1015004,2271,Tymbark Szkoła,49.723384,20.324811,http://kolejemalopolskie.kiedyprzyjedzie.pl/2271,0,959866
1389840,11461,Urząd Gminy Niedźwiedź,49.6216515,20.082873,http://kolejemalopolskie.kiedyprzyjedzie.pl/11461,1,
1450620,3185,Urząd Gminy Niedźwiedź,49.621746,20.083166,http://kolejemalopolskie.kiedyprzyjedzie.pl/3185,0,1389840
1450621,3186,Urząd Gminy Niedźwiedź,49.621557,20.08258,http://kolejemalopolskie.kiedyprzyjedzie.pl/3186,0,1389840
960094,10757,Uście Gorlickie,49.5223165,21.1379725,http://kolejemalopolskie.kiedyprzyjedzie.pl/10757,1,
1015396,2658,Uście Gorlickie,49.522257,21.137939,http://kolejemalopolskie.kiedyprzyjedzie.pl/2658,0,960094
1015397,2659,Uście Gorlickie,49.522376,21.138006,http://kolejemalopolskie.kiedyprzyjedzie.pl/2659,0,960094
960093,11060,Uście Gorlickie I,49.502537,21.1381225,http://kolejemalopolskie.kiedyprzyjedzie.pl/11060,1,
1015394,2657,Uście Gorlickie I,49.502884,21.137532,http://kolejemalopolskie.kiedyprzyjedzie.pl/2657,0,960093
1015395,2661,Uście Gorlickie I,49.50219,21.138713,http://kolejemalopolskie.kiedyprzyjedzie.pl/2661,0,960093
960090,10756,Uście Gorlickie Spichlerz,49.525472,21.133885,http://kolejemalopolskie.kiedyprzyjedzie.pl/10756,1,
1015388,2651,Uście Gorlickie Spichlerz,49.525626,21.13366,http://kolejemalopolskie.kiedyprzyjedzie.pl/2651,0,960090
1015389,2653,Uście Gorlickie Spichlerz,49.525318,21.13411,http://kolejemalopolskie.kiedyprzyjedzie.pl/2653,0,960090
960089,10758,Uście Gorlickie Szkoła,49.517919,21.1337185,http://kolejemalopolskie.kiedyprzyjedzie.pl/10758,1,
1015386,2650,Uście Gorlickie Szkoła,49.517579,21.133449,http://kolejemalopolskie.kiedyprzyjedzie.pl/2650,0,960089
1015387,2652,Uście Gorlickie Szkoła,49.518259,21.133988,http://kolejemalopolskie.kiedyprzyjedzie.pl/2652,0,960089
654110,10159,Uście Solne,50.125693,20.5230255,http://kolejemalopolskie.kiedyprzyjedzie.pl/10159,1,
703841,504,Uście Solne,50.125652,20.523016,http://kolejemalopolskie.kiedyprzyjedzie.pl/504,0,654110
703842,505,Uście Solne,50.125734,20.523035,http://kolejemalopolskie.kiedyprzyjedzie.pl/505,0,654110
688130,11061,Uście Solne Kościół,50.119042,20.514019,http://kolejemalopolskie.kiedyprzyjedzie.pl/11061,1,
739566,4221,Uście Solne Kościół,50.119042,20.514019,http://kolejemalopolskie.kiedyprzyjedzie.pl/4221,0,688130
688129,10158,Uście Solne Rynek,50.120703,20.513415,http://kolejemalopolskie.kiedyprzyjedzie.pl/10158,1,
739564,4219,Uście Solne Rynek,50.120703,20.513415,http://kolejemalopolskie.kiedyprzyjedzie.pl/4219,0,688129
654115,10160,Uście Solne (skrzyż. Barczków),50.1235635,20.5572415,http://kolejemalopolskie.kiedyprzyjedzie.pl/10160,1,
703851,514,Uście Solne (skrzyż. Barczków),50.123499,20.55668,http://kolejemalopolskie.kiedyprzyjedzie.pl/514,0,654115
703852,515,Uście Solne (skrzyż. Barczków),50.123628,20.557803,http://kolejemalopolskie.kiedyprzyjedzie.pl/515,0,654115
1216945,11117,Vitanová - rázc.,49.358732,19.7201815,http://kolejemalopolskie.kiedyprzyjedzie.pl/11117,1,
1271970,8984,Vitanová - rázc.,49.358691,19.720249,http://kolejemalopolskie.kiedyprzyjedzie.pl/8984,0,1216945
1271971,8985,Vitanová - rázc.,49.358773,19.720114,http://kolejemalopolskie.kiedyprzyjedzie.pl/8985,0,1216945
1216946,11116,Vitanová - RD,49.3636655,19.731839,http://kolejemalopolskie.kiedyprzyjedzie.pl/11116,1,
1271972,8986,Vitanová - RD,49.363658,19.731998,http://kolejemalopolskie.kiedyprzyjedzie.pl/8986,0,1216946
1271973,8987,Vitanová - RD,49.363673,19.73168,http://kolejemalopolskie.kiedyprzyjedzie.pl/8987,0,1216946
1428622,11564,Vysoké Tatry Horný Smokovec Pekná vyhliadka,49.139692,20.233599,http://kolejemalopolskie.kiedyprzyjedzie.pl/11564,1,
1491143,3363,Vysoké Tatry Horný Smokovec Pekná vyhliadka,49.139732,20.233592,http://kolejemalopolskie.kiedyprzyjedzie.pl/3363,0,1428622
1491144,3364,Vysoké Tatry Horný Smokovec Pekná vyhliadka,49.139652,20.233606,http://kolejemalopolskie.kiedyprzyjedzie.pl/3364,0,1428622
1428621,11563,Vysoké Tatry Horný Smokovec rázc.,49.1427345,20.240475,http://kolejemalopolskie.kiedyprzyjedzie.pl/11563,1,
1491141,3361,Vysoké Tatry Horný Smokovec rázc.,49.142407,20.23934,http://kolejemalopolskie.kiedyprzyjedzie.pl/3361,0,1428621
1491142,3362,Vysoké Tatry Horný Smokovec rázc.,49.143062,20.24161,http://kolejemalopolskie.kiedyprzyjedzie.pl/3362,0,1428621
1428615,11557,Vysoké Tatry Kežmarské Žľaby,49.1942445,20.3009035,http://kolejemalopolskie.kiedyprzyjedzie.pl/11557,1,
1491130,3350,Vysoké Tatry Kežmarské Žľaby,49.194027,20.300492,http://kolejemalopolskie.kiedyprzyjedzie.pl/3350,0,1428615
1491131,3351,Vysoké Tatry Kežmarské Žľaby,49.194462,20.301315,http://kolejemalopolskie.kiedyprzyjedzie.pl/3351,0,1428615
1428619,11561,Vysoké Tatry Stará Lesná TEŽ,49.1553625,20.2709795,http://kolejemalopolskie.kiedyprzyjedzie.pl/11561,1,
1491137,3357,Vysoké Tatry Stará Lesná TEŽ,49.155522,20.271379,http://kolejemalopolskie.kiedyprzyjedzie.pl/3357,0,1428619
1491138,3358,Vysoké Tatry Stará Lesná TEŽ,49.155203,20.27058,http://kolejemalopolskie.kiedyprzyjedzie.pl/3358,0,1428619
1428623,11565,Vysoké Tatry Starý Smokovec aut.st.,49.140537,20.225229,http://kolejemalopolskie.kiedyprzyjedzie.pl/11565,1,
1491145,3365,Vysoké Tatry Starý Smokovec aut.st.,49.140537,20.225229,http://kolejemalopolskie.kiedyprzyjedzie.pl/3365,0,1428623
1428617,11559,Vysoké Tatry Tatranské Matliare,49.1753075,20.294005,http://kolejemalopolskie.kiedyprzyjedzie.pl/11559,1,
1491134,3354,Vysoké Tatry Tatranské Matliare,49.175197,20.293896,http://kolejemalopolskie.kiedyprzyjedzie.pl/3354,0,1428617
1491135,3355,Vysoké Tatry Tatranské Matliare,49.175418,20.294114,http://kolejemalopolskie.kiedyprzyjedzie.pl/3355,0,1428617
1428613,11555,Vysoké Tatry Tatr.Kotlina Bel.jask.,49.2293385,20.317674,http://kolejemalopolskie.kiedyprzyjedzie.pl/11555,1,
1491126,3346,Vysoké Tatry Tatr.Kotlina Bel.jask.,49.22908,20.317916,http://kolejemalopolskie.kiedyprzyjedzie.pl/3346,0,1428613
1491127,3347,Vysoké Tatry Tatr.Kotlina Bel.jask.,49.229597,20.317432,http://kolejemalopolskie.kiedyprzyjedzie.pl/3347,0,1428613
1428614,11556,"Vysoké Tatry Tatr. Kotlina, Čarda",49.224908,20.324272,http://kolejemalopolskie.kiedyprzyjedzie.pl/11556,1,
1491128,3348,"Vysoké Tatry Tatr. Kotlina, Čarda",49.224892,20.32425,http://kolejemalopolskie.kiedyprzyjedzie.pl/3348,0,1428614
1491129,3349,"Vysoké Tatry Tatr. Kotlina, Čarda",49.224924,20.324294,http://kolejemalopolskie.kiedyprzyjedzie.pl/3349,0,1428614
1428612,11554,Vysoké Tatry Tatr. Kotlina Kardolina,49.2463785,20.3104355,http://kolejemalopolskie.kiedyprzyjedzie.pl/11554,1,
1491124,3344,Vysoké Tatry Tatr. Kotlina Kardolina,49.246481,20.310524,http://kolejemalopolskie.kiedyprzyjedzie.pl/3344,0,1428612
1491125,3345,Vysoké Tatry Tatr. Kotlina Kardolina,49.246276,20.310347,http://kolejemalopolskie.kiedyprzyjedzie.pl/3345,0,1428612
1428620,11562,Vysoké Tatry Tatr. Lesná,49.150231,20.256395,http://kolejemalopolskie.kiedyprzyjedzie.pl/11562,1,
1491139,3359,Vysoké Tatry Tatr. Lesná,49.150328,20.256032,http://kolejemalopolskie.kiedyprzyjedzie.pl/3359,0,1428620
1491140,3360,Vysoké Tatry Tatr. Lesná,49.150134,20.256758,http://kolejemalopolskie.kiedyprzyjedzie.pl/3360,0,1428620
1428618,11560,Vysoké Tatry Tatr. Lomnica aut.st.,49.165987,20.281306,http://kolejemalopolskie.kiedyprzyjedzie.pl/11560,1,
1491136,3356,Vysoké Tatry Tatr. Lomnica aut.st.,49.165987,20.281306,http://kolejemalopolskie.kiedyprzyjedzie.pl/3356,0,1428618
1428616,11558,Vysoké Tatry Tatr.Lomnica Biela Voda,49.187922,20.2927525,http://kolejemalopolskie.kiedyprzyjedzie.pl/11558,1,
