route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,trip_short_name,direction_id,block_id,shape_id
74096,239858_7953,18766564_7953,Dobczyce Witosa (pętla),0,,,,
74096,239858_7953,18766565_7953,Dobczyce Witosa (pętla),0,,,,
74096,239858_7954,18766566_7954,Dobczyce Witosa (pętla),0,,,,
74096,239858_7954,18766567_7954,Dobczyce Witosa (pętla),0,,,,
74096,239858_7954,18766568_7954,Dobczyce Witosa (pętla),0,,,,
74096,239858_7954,18766569_7954,Dobczyce Witosa (pętla),0,,,,
74096,239858_7954,18766570_7954,Dobczyce Witosa (pętla),0,,,,
74096,239858_7954,18766571_7954,Dobczyce Witosa (pętla),0,,,,
74096,239858_7954,18766572_7954,Dobczyce Witosa (pętla),0,,,,
74096,239858_7954,18766573_7954,Dobczyce Witosa (pętla),0,,,,
74096,239858_7954,18766574_7954,Dobczyce Witosa (pętla),0,,,,
74096,239858_7952,18766575_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766576_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766577_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766578_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766579_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766580_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766581_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766582_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766583_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766584_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766585_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766586_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766587_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766588_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766589_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766590_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766591_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7952,18766592_7952,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7953,18766593_7953,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7953,18766594_7953,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7953,18766595_7953,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7953,18766596_7953,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7953,18766597_7953,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7953,18766598_7953,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7953,18766599_7953,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7953,18766600_7953,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7953,18766601_7953,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7953,18766602_7953,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7953,18766603_7953,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7953,18766604_7953,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7953,18766605_7953,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7953,18766606_7953,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7954,18766607_7954,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7954,18766608_7954,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7954,18766609_7954,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7954,18766610_7954,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7954,18766611_7954,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7954,18766612_7954,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7954,18766613_7954,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7954,18766614_7954,Wieliczka Centrum Dworzec,0,,,,
74096,239858_7954,18766615_7954,Wieliczka Centrum Dworzec,0,,,,
87151,245259_7952,19216148_7952,Siedlec Centrum,0,,,,
87151,245259_7952,19216149_7952,Siedlec Centrum,0,,,,
87151,245259_7952,19216150_7952,Siedlec Centrum,0,,,,
87151,245259_7952,19216151_7952,Siedlec Centrum,0,,,,
87151,245259_7952,19216152_7952,Siedlec Centrum,0,,,,
87151,245259_7952,19216153_7952,Siedlec Centrum,0,,,,
87151,245259_7952,19216154_7952,Siedlec Centrum,0,,,,
87151,245259_7954,19216155_7954,Siedlec Centrum,0,,,,
87151,245259_7954,19216156_7954,Siedlec Centrum,0,,,,
87151,245259_7954,19216157_7954,Siedlec Centrum,0,,,,
87151,245259_7953,19216158_7953,Siedlec Centrum,0,,,,
87151,245259_7953,19216159_7953,Siedlec Centrum,0,,,,
