service_id,date,exception_type
273304_7954,20241225,1
273304_7954,20241226,1
273304_7954,20241101,1
273304_7954,20241111,1
257941_7952,20241225,2
257941_7952,20241226,2
257941_7952,20241101,2
257941_7952,20241111,2
257941_7954,20241225,1
257941_7954,20241226,1
257941_7954,20241101,1
257941_7954,20241111,1
273549_7952,20241225,2
273549_7952,20241226,2
273549_7952,20241101,2
273549_7952,20241111,2
273549_7954,20241225,1
273549_7954,20241226,1
273549_7954,20241101,1
273549_7954,20241111,1
272598_7952,20241225,2
272598_7952,20241226,2
272598_7952,20241101,2
272598_7952,20241111,2
272598_7954,20241225,1
272598_7954,20241226,1
272598_7954,20241101,1
272598_7954,20241111,1
273561_7952,20241225,2
273561_7952,20241226,2
273561_7952,20241101,2
273561_7952,20241111,2
273561_7954,20241225,1
273561_7954,20241226,1
273561_7954,20241101,1
273561_7954,20241111,1
273553_7952,20241225,2
273553_7952,20241226,2
273553_7952,20241101,2
273553_7952,20241111,2
273553_7954,20241225,1
273553_7954,20241226,1
273553_7954,20241101,1
273553_7954,20241111,1
274388_7952,20241225,2
274388_7952,20241226,2
274388_7952,20241101,2
274388_7952,20241111,2
274388_7954,20241225,1
274388_7954,20241226,1
274388_7954,20241101,1
274388_7954,20241111,1
273555_7952,20241225,2
273555_7952,20241226,2
273555_7952,20241101,2
273555_7952,20241111,2
273555_7954,20241225,1
273555_7954,20241226,1
273555_7954,20241101,1
273555_7954,20241111,1
254535_7954,20241225,1
254535_7954,20241226,1
254535_7954,20241101,1
254535_7954,20241111,1
260228_7952,20241225,2
260228_7952,20241226,2
260228_7952,20241101,2
260228_7952,20241111,2
260228_7954,20241225,1
260228_7954,20241226,1
260228_7954,20241101,1
260228_7954,20241111,1
2023_2024_1513288,20241014,1
2023_2024_1513288,20241015,1
2023_2024_1513288,20241016,1
2023_2024_1513288,20241017,1
2023_2024_1513288,20241018,1
2023_2024_1513288,20241021,1
2023_2024_1513288,20241022,1
2023_2024_1513288,20241023,1
2023_2024_1513288,20241024,1
2023_2024_1513288,20241025,1
2023_2024_1513288,20241028,1
2023_2024_1513288,20241029,1
2023_2024_1513288,20241030,1
2023_2024_1513288,20241031,1
2023_2024_1513288,20241104,1
2023_2024_1513288,20241105,1
2023_2024_1513288,20241106,1
2023_2024_1513288,20241107,1
2023_2024_1513288,20241108,1
2023_2024_1529961,20241019,1
2023_2024_1529961,20241020,1
2023_2024_1529961,20241026,1
2023_2024_1529961,20241027,1
2023_2024_945871,20240831,1
2023_2024_1522695,20241028,1
2023_2024_1513340,20240901,1
2023_2024_1513340,20240907,1
2023_2024_1513340,20240908,1
2023_2024_1513340,20240914,1
2023_2024_1513340,20240915,1
2023_2024_1513340,20240921,1
2023_2024_1513340,20240922,1
2023_2024_1513340,20240928,1
2023_2024_1513340,20240929,1
2023_2024_1513340,20241005,1
2023_2024_1513340,20241006,1
2023_2024_1513340,20241012,1
2023_2024_1513340,20241013,1
2023_2024_1513340,20241019,1
2023_2024_1513340,20241020,1
2023_2024_1513340,20241026,1
2023_2024_1513340,20241027,1
2023_2024_1513340,20241101,1
2023_2024_1513340,20241102,1
2023_2024_1513340,20241103,1
2023_2024_1513340,20241109,1
2023_2024_944540,20240831,1
2023_2024_1153260,20240831,1
2023_2024_945640,20240827,1
2023_2024_945640,20240828,1
2023_2024_945640,20240829,1
2023_2024_945640,20240830,1
2023_2024_1529893,20240928,1
2023_2024_1529893,20240929,1
2023_2024_1521234,20241010,1
2023_2024_1521234,20241011,1
2023_2024_930107,20240826,1
2023_2024_930107,20240827,1
2023_2024_930107,20240828,1
2023_2024_930107,20240829,1
2023_2024_930107,20240830,1
2023_2024_1522893,20241029,1
2023_2024_1522893,20241030,1
2023_2024_1522893,20241031,1
2023_2024_1530332,20241010,1
2023_2024_1530332,20241011,1
2023_2024_1529883,20241005,1
2023_2024_1529883,20241006,1
2023_2024_1521552,20240926,1
2023_2024_1521552,20240927,1
2023_2024_1521552,20240930,1
2023_2024_1522735,20241028,1
2023_2024_1512895,20240905,1
2023_2024_1512895,20240906,1
2023_2024_1512895,20240910,1
2023_2024_1512895,20240911,1
2023_2024_1512895,20240912,1
2023_2024_1512895,20240913,1
2023_2024_1512895,20240916,1
2023_2024_1512895,20240917,1
2023_2024_1512895,20240918,1
2023_2024_1512895,20240919,1
2023_2024_1512895,20240920,1
2023_2024_1512895,20240923,1
2023_2024_1512895,20240924,1
2023_2024_1512895,20240925,1
2023_2024_1512895,20240926,1
2023_2024_1512895,20240927,1
2023_2024_1512895,20240930,1
2023_2024_1512895,20241001,1
2023_2024_1512895,20241002,1
2023_2024_1512895,20241003,1
2023_2024_1512895,20241004,1
2023_2024_1512895,20241007,1
2023_2024_1512895,20241008,1
2023_2024_1512895,20241009,1
2023_2024_1512895,20241010,1
2023_2024_1512895,20241011,1
2023_2024_1512895,20241014,1
2023_2024_1512895,20241015,1
2023_2024_1512895,20241016,1
2023_2024_1512895,20241017,1
2023_2024_1512895,20241018,1
2023_2024_1512895,20241021,1
2023_2024_1512895,20241022,1
2023_2024_1512895,20241023,1
2023_2024_1512895,20241024,1
2023_2024_1512895,20241025,1
2023_2024_1512895,20241028,1
2023_2024_1512895,20241029,1
2023_2024_1512895,20241030,1
2023_2024_1512895,20241031,1
2023_2024_1512895,20241104,1
2023_2024_1512895,20241105,1
2023_2024_1512895,20241106,1
2023_2024_1512895,20241107,1
2023_2024_1512895,20241108,1
2023_2024_1512864,20240902,1
2023_2024_1512864,20240903,1
2023_2024_1512864,20240904,1
2023_2024_1512864,20240905,1
2023_2024_1512864,20240906,1
2023_2024_1512864,20240909,1
2023_2024_1512864,20240910,1
2023_2024_1512864,20240911,1
2023_2024_1512864,20240912,1
2023_2024_1512864,20240913,1
2023_2024_1512864,20240916,1
2023_2024_1512864,20240917,1
2023_2024_1512864,20240918,1
2023_2024_1512864,20240919,1
2023_2024_1512864,20240920,1
2023_2024_1512864,20240923,1
2023_2024_1512864,20240924,1
2023_2024_1512864,20240925,1
2023_2024_1512864,20240926,1
2023_2024_1512864,20240927,1
